id_family,Family
853,Psittacidae
854,Psittacidae
855,Psittacidae
856,Psittacidae
857,Psittacidae
858,Psittacidae
859,Psittacidae
860,Psittacidae
861,Psittacidae
862,Psittacidae
863,Psittacidae
864,Psittacidae
865,Psittacidae
866,Psittacidae
867,Psittacidae
868,Psittacidae
869,Psittacidae
870,Psittacidae
871,Psittacidae
872,Psittacidae
873,Psittacidae
874,Psittacidae
875,Psittacidae
876,Psittacidae
877,Psittacidae
878,Psittacidae
879,Psittacidae
880,Psittacidae
881,Psittacidae
882,Psittacidae
883,Psittacidae
884,Psittacidae
885,Psittacidae
886,Psittacidae
887,Psittacidae
888,Psittacidae
889,Psittacidae
890,Psittacidae
891,Psittacidae
892,Psittacidae
893,Psittacidae
894,Psittacidae
895,Psittacidae
896,Psittacidae
897,Psittacidae
898,Psittacidae
899,Psittacidae
900,Psittacidae
901,Psittacidae
902,Psittacidae
903,Rheidae
904,Rheidae
905,Rheidae
906,Spheniscidae
907,Strigidae
908,Strigidae
909,Strigidae
910,Strigidae
911,Strigidae
912,Strigidae
913,Strigidae
914,Strigidae
915,Strigidae
916,Strigidae
917,Strigidae
918,Strigidae
919,Strigidae
920,Strigidae
921,Strigidae
922,Strigidae
923,Strigidae
924,Strigidae
925,Strigidae
926,Strigidae
927,Strigidae
928,Strigidae
929,Strigidae
930,Strigidae
931,Strigidae
932,Strigidae
933,Strigidae
934,Strigidae
935,Strigidae
936,Strigidae
937,Strigidae
938,Strigidae
939,Strigidae
940,Strigidae
941,Strigidae
942,Strigidae
943,Strigidae
944,Strigidae
945,Strigidae
946,Strigidae
947,Strigidae
948,Strigidae
949,Strigidae
950,Strigidae
951,Strigidae
952,Strigidae
953,Strigidae
954,Strigidae
955,Strigidae
956,Strigidae
957,Strigidae
958,Strigidae
959,Strigidae
960,Strigidae
961,Strigidae
962,Strigidae
963,Tytonidae
964,Tytonidae
965,Tinamidae
966,Trogonidae
967,Alligatoridae
968,Alligatoridae
969,Alligatoridae
970,Alligatoridae
971,Alligatoridae
972,Alligatoridae
973,Crocodylidae
974,Crocodylidae
975,Crocodylidae
976,Crocodylidae
977,Anguidae
978,Anguidae
979,Anguidae
980,Anguidae
981,Anguidae
982,Anguidae
983,Helodermatidae
984,Helodermatidae
985,Iguanidae
986,Iguanidae
987,Iguanidae
988,Iguanidae
989,Iguanidae
990,Iguanidae
991,Iguanidae
992,Iguanidae
993,Iguanidae
994,Iguanidae
995,Iguanidae
996,Iguanidae
997,Iguanidae
998,Iguanidae
999,Iguanidae
1000,Iguanidae
1001,Iguanidae
1002,Teiidae
1003,Teiidae
1004,Teiidae
1005,Teiidae
1006,Teiidae
1007,Teiidae
1008,Teiidae
1009,Teiidae
1010,Teiidae
1011,Teiidae
1012,Boidae
1013,Boidae
1014,Boidae
1015,Boidae
1016,Boidae
1017,Boidae
1018,Boidae
1019,Boidae
1020,Boidae
1021,Boidae
1022,Boidae
1023,Boidae
1024,Boidae
1025,Boidae
1026,Boidae
1027,Boidae
1028,Boidae
1029,Boidae
1030,Boidae
1031,Boidae
1032,Boidae
1033,Boidae
1034,Boidae
1035,Boidae
1036,Boidae
1037,Boidae
1038,Colubridae
1039,Colubridae
1040,Elapidae
1041,Elapidae
1042,Elapidae
1043,Loxocemidae
1044,Tropidophiidae
1045,Tropidophiidae
1046,Tropidophiidae
1047,Tropidophiidae
1048,Tropidophiidae
1049,Tropidophiidae
1050,Tropidophiidae
1051,Tropidophiidae
1052,Tropidophiidae
1053,Tropidophiidae
1054,Tropidophiidae
1055,Tropidophiidae
1056,Tropidophiidae
1057,Tropidophiidae
1058,Tropidophiidae
1059,Tropidophiidae
1060,Tropidophiidae
1061,Tropidophiidae
1062,Tropidophiidae
1063,Tropidophiidae
1064,Tropidophiidae
1065,Tropidophiidae
1066,Tropidophiidae
1067,Tropidophiidae
1068,Tropidophiidae
1069,Tropidophiidae
1070,Tropidophiidae
1071,Tropidophiidae
1072,Tropidophiidae
1073,Tropidophiidae
1074,Viperidae
1075,Cheloniidae
1076,Cheloniidae
1077,Cheloniidae
1078,Cheloniidae
1079,Cheloniidae
1080,Dermatemydidae
1081,Dermochelyidae
1082,Podocnemididae
1083,Podocnemididae
1084,Podocnemididae
1085,Podocnemididae
1086,Podocnemididae
1087,Podocnemididae
1088,Podocnemididae
1089,Testudinidae
1090,Testudinidae
1091,Testudinidae
1092,Testudinidae
1093,Aromobatidae
1094,Aromobatidae
1095,Aromobatidae
1096,Aromobatidae
1097,Aromobatidae
1098,Bufonidae
1099,Bufonidae
