id_order,Order
963,Strigiformes
964,Strigiformes
965,Tinamiformes
966,Trogoniformes
967,Crocodylia
968,Crocodylia
969,Crocodylia
970,Crocodylia
971,Crocodylia
972,Crocodylia
973,Crocodylia
974,Crocodylia
975,Crocodylia
976,Crocodylia
977,Sauria
978,Sauria
979,Sauria
980,Sauria
981,Sauria
982,Sauria
983,Sauria
984,Sauria
985,Sauria
986,Sauria
987,Sauria
988,Sauria
989,Sauria
990,Sauria
991,Sauria
992,Sauria
993,Sauria
994,Sauria
995,Sauria
996,Sauria
997,Sauria
998,Sauria
999,Sauria
1000,Sauria
1001,Sauria
1002,Sauria
1003,Sauria
1004,Sauria
1005,Sauria
1006,Sauria
1007,Sauria
1008,Sauria
1009,Sauria
1010,Sauria
1011,Sauria
1012,Serpentes
1013,Serpentes
1014,Serpentes
1015,Serpentes
1016,Serpentes
1017,Serpentes
1018,Serpentes
1019,Serpentes
1020,Serpentes
1021,Serpentes
1022,Serpentes
1023,Serpentes
1024,Serpentes
1025,Serpentes
1026,Serpentes
1027,Serpentes
1028,Serpentes
1029,Serpentes
1030,Serpentes
1031,Serpentes
1032,Serpentes
1033,Serpentes
1034,Serpentes
1035,Serpentes
1036,Serpentes
1037,Serpentes
1038,Serpentes
1039,Serpentes
1040,Serpentes
1041,Serpentes
1042,Serpentes
1043,Serpentes
1044,Serpentes
1045,Serpentes
1046,Serpentes
1047,Serpentes
1048,Serpentes
1049,Serpentes
1050,Serpentes
1051,Serpentes
1052,Serpentes
1053,Serpentes
1054,Serpentes
1055,Serpentes
1056,Serpentes
1057,Serpentes
1058,Serpentes
1059,Serpentes
1060,Serpentes
1061,Serpentes
1062,Serpentes
1063,Serpentes
1064,Serpentes
1065,Serpentes
1066,Serpentes
1067,Serpentes
1068,Serpentes
1069,Serpentes
1070,Serpentes
1071,Serpentes
1072,Serpentes
1073,Serpentes
1074,Serpentes
1075,Testudines
1076,Testudines
1077,Testudines
1078,Testudines
1079,Testudines
1080,Testudines
1081,Testudines
1082,Testudines
1083,Testudines
1084,Testudines
1085,Testudines
1086,Testudines
1087,Testudines
1088,Testudines
1089,Testudines
1090,Testudines
1091,Testudines
1092,Testudines
1093,Anura
1094,Anura
1095,Anura
1096,Anura
1097,Anura
1098,Anura
1099,Anura
1100,Anura
1101,Anura
1102,Anura
1103,Anura
1104,Anura
1105,Anura
1106,Anura
1107,Anura
1108,Anura
1109,Anura
1110,Anura
1111,Anura
1112,Anura
1113,Anura
1114,Anura
1115,Anura
1116,Anura
1117,Anura
1118,Anura
1119,Anura
1120,Anura
1121,Anura
1122,Anura
1123,Anura
1124,Anura
1125,Anura
1126,Anura
1127,Anura
1128,Anura
1129,Anura
1130,Anura
1131,Anura
1132,Anura
1133,Anura
1134,Anura
1135,Anura
1136,Anura
1137,Anura
1138,Anura
1139,Anura
1140,Anura
1141,Anura
1142,Anura
1143,Anura
1144,Anura
1145,Anura
1146,Anura
1147,Anura
1148,Anura
1149,Anura
1150,Anura
1151,Anura
1152,Anura
1153,Anura
